NumberFrom,NumberTo,OwnerId,RegionCode,MNC,RowCount
9011670000,9011673999,mTELE2,02,20,
9011674000,9011687999,mTELE2,26,20,
9011688000,9011693999,mTELE2,30,20,
9011694000,9011699999,mTELE2,55,20,
9011700000,9011799999,mTELE2,76,20,
9011800000,9011899999,mTELE2,77,20,
9011900000,9011909999,mTELE2,70,20,
9011910000,9011919999,mTELE2,40,20,
9011920000,9011929999,mTELE2,36,20,
9011930000,9011939999,mTELE2,39,20,
9011940000,9011949999,mTELE2,40,20,
9011950000,9011959999,mTELE2,76,20,
9011960000,9011979999,mTELE2,46,20,
9011980000,9011989999,mTELE2,72,20,
9011990000,9011999999,mTELE2,76,20,
9012000000,9012009999,mTELE2,17,20,
9012010000,9012019999,mTELE2,67,20,
9012030000,9012049999,mRTK,69,20,
9012050000,9012099999,mTELE2,22,20,
9012100000,9012109999,mTELE2,67,20,
9012110000,9012119999,mMTT,77,42,
9012120000,9012127999,mTELE2,04,20,
9012128000,9012135999,mTELE2,32,20,
9012136000,9012145999,mTELE2,34,20,
9012146000,9012153999,mTELE2,36,20,
9012154000,9012163999,mTELE2,37,20,
9012164000,9012173999,mTELE2,39,20,
9012174000,9012177999,mTELE2,40,20,
9012178000,9012183999,mTELE2,46,20,
9012184000,9012189999,mTELE2,53,20,
9012190000,9012199999,mTELE2,41,20,
9012200000,9012209999,mTELE2,67,20,
9012210000,9012219999,mMTT,77,42,
9012220000,9012229999,mMTT,77,42,
9012230000,9012237999,mTELE2,43,20,
9012238000,9012241999,mTELE2,24,20,
9012242000,9012249999,mTELE2,45,20,
9012250000,9012253999,mTELE2,47,20,
9012254000,9012263999,mTELE2,48,20,
9012264000,9012273999,mTELE2,50,20,
9012274000,9012283999,mTELE2,54,20,
9012284000,9012289999,mTELE2,59,20,
9012290000,9012299999,mMTT,77,42,
9012300000,9012309999,mTELE2,67,20,
9012310000,9012319999,mTELE2,56,20,
9012320000,9012329999,mTELE2,67,20,
9012330000,9012339999,mMTT,62,42,
9012340000,9012349999,mLYCAMOBILE,77,13,
9012350000,9012399999,mTELE2,19,20,
9012400000,9012419999,mTELE2,26,20,
9012420000,9012439999,mTELE2,45,20,
9012440000,9012449999,mMTT,77,42,
9012450000,9012459999,mMTT,75,42,
9012460000,9012469999,mMTT,25,42,
9012470000,9012479999,mMTT,56,42,
9012480000,9012489999,mMTT,54,42,
9012490000,9012499999,mMTT,67,42,
9012500000,9012505299,mAPEKS,75,39,
9012505300,9012505399,mAPEKS,75,20,
9012505400,9012519999,mAPEKS,75,39,
9012520000,9012539999,mAPEKS,75,39,
9012540000,9012559999,mMTT,77,42,
9012560000,9012599999,mMTT,77,42,
9012600000,9012619999,mMTS,81,01,
9012620000,9012639999,mTELE2,57,20,
9012640000,9012649999,mTELE2,57,20,
9012650000,9012699999,mTELE2,27,09,
9012700000,9012799999,mTELE2,76,20,
9012800000,9012899999,mTELE2,40,20,
9012900000,9012909999,mTELE2,40,20,
9012910000,9012913999,mTELE2,51,20,
9012914000,9012921999,mTELE2,58,20,
9012922000,9012929999,mTELE2,35,20,
9012930000,9012937999,mTELE2,63,20,
9012938000,9012941999,mTELE2,66,20,
9012942000,9012949999,mTELE2,68,20,
9012950000,9012957999,mTELE2,69,20,
9012958000,9012965999,mTELE2,70,20,
9012966000,9012973999,mTELE2,71,20,
9012974000,9012981999,mTELE2,73,20,
9012982000,9012989999,mTELE2,74,20,
9012990000,9012999999,mTELE2,76,20,
9013000000,9013299999,mTELE2,78,20,
9013300000,9013699999,mTELE2,77,20,
9013700000,9013799999,mTELE2,78,20,
9013800000,9013899999,mTELE2,77,20,
9013900000,9013909999,mTELE2,42,20,
9013910000,9013999999,mTELE2,78,20,
9014000000,9014099999,mTELE2,77,20,
9014100000,9014109999,mTELE2,18,20,
9014110000,9014119999,mMTT,77,42,
9014120000,9014129999,mTELE2,18,20,
9014130000,9014139999,mTELE2,67,20,
9014140000,9014149999,mTELE2,67,39,
9014150000,9014169999,mMTS,03,01,
9014180000,9014189999,mMTS,03,01,
9014190000,9014199999,mTELE2,45,20,
9014200000,9014299999,mTELE2,77,20,
9014300000,9014399999,mTELE2,67,20,
9014400000,9014429999,mMTS,03,01,
9014430000,9014439999,mMTT,77,42,
9014440000,9014449999,mTELE2,36,20,
9014450000,9014459999,mTELE2,24,20,
9014460000,9014469999,mTELE2,62,20,
9014470000,9014489999,mMTT,77,42,
9014490000,9014499999,mTELE2,45,20,
9014500000,9014529999,mTELE2,56,20,
9014530000,9014539999,mTELE2,67,20,
9014540000,9014549999,mTELE2,67,39,
9014550000,9014559999,mTELE2,18,20,
9014560000,9014569999,mTELE2,62,20,
9014570000,9014579999,mTELE2,18,20,
9014580000,9014599999,mTELE2,56,20,
9014600000,9014609999,mTELE2,30,20,
9014610000,9014619999,mTELE2,77,20,
9014620000,9014639999,mTELE2,30,20,
9014640000,9014649999,mTELE2,77,20,
9014650000,9014669999,mTELE2,30,20,
9014670000,9014679999,mMTT,56,42,
9014700000,9014709999,mTELE2,77,20,
9014710000,9014719999,mTELE2,45,20,
9014720000,9014729999,mTELE2,60,20,
9014750000,9014769999,mMTS,03,01,
9014770000,9014779999,mMTT,77,42,
9014780000,9014789999,mMTS,03,01,
9014790000,9014799999,mTELE2,45,20,
9014800000,9014809999,mTELE2,46,20,
9014810000,9014819999,mTELE2,63,20,
9014820000,9014839999,mTELE2,40,20,
9014840000,9014849999,mTELE2,46,20,
9014850000,9014869999,mTELE2,76,20,
9014870000,9014889999,mTELE2,70,20,
9014890000,9014919999,mTELE2,25,20,
